removal_probability,mean_lcc_size,std_lcc_size,lcc_sizes
0.0,0.7645714285714287,1.1102230246251565e-16,"[0.7645714285714286, 0.7645714285714286, 0.7645714285714286, 0.7645714285714286, 0.7645714285714286, 0.7645714285714286, 0.7645714285714286, 0.7645714285714286, 0.7645714285714286, 0.7645714285714286, 0.7645714285714286, 0.7645714285714286, 0.7645714285714286, 0.7645714285714286, 0.7645714285714286, 0.7645714285714286, 0.7645714285714286, 0.7645714285714286, 0.7645714285714286, 0.7645714285714286]"
0.05,0.7343428571428572,0.0027159393459008324,"[0.7325714285714285, 0.7402857142857143, 0.7345714285714285, 0.7337142857142858, 0.7357142857142858, 0.7368571428571429, 0.7351428571428571, 0.7374285714285714, 0.7362857142857143, 0.7305714285714285, 0.7365714285714285, 0.7334285714285714, 0.7322857142857143, 0.7308571428571429, 0.7297142857142858, 0.7302857142857143, 0.7357142857142858, 0.7371428571428571, 0.7328571428571429, 0.7348571428571429]"
0.1,0.703542857142857,0.0021860410586729854,"[0.7002857142857143, 0.7028571428571428, 0.7054285714285714, 0.7028571428571428, 0.6991428571428572, 0.7051428571428572, 0.7025714285714286, 0.7034285714285714, 0.7042857142857143, 0.7034285714285714, 0.7057142857142857, 0.7077142857142857, 0.7042857142857143, 0.6994285714285714, 0.7042857142857143, 0.7071428571428572, 0.7017142857142857, 0.7034285714285714, 0.7042857142857143, 0.7034285714285714]"
0.15000000000000002,0.6714,0.005074868048953159,"[0.6605714285714286, 0.6654285714285715, 0.6722857142857143, 0.662, 0.6742857142857143, 0.6691428571428572, 0.6742857142857143, 0.6791428571428572, 0.6714285714285714, 0.6697142857142857, 0.6668571428571428, 0.6774285714285714, 0.676, 0.6677142857142857, 0.6722857142857143, 0.6768571428571428, 0.6688571428571428, 0.6757142857142857, 0.6777142857142857, 0.6702857142857143]"
0.2,0.6388571428571429,0.005752727835646355,"[0.6397142857142857, 0.6462857142857142, 0.6394285714285715, 0.656, 0.6462857142857142, 0.6382857142857142, 0.6391428571428571, 0.634, 0.632, 0.638, 0.6402857142857142, 0.6291428571428571, 0.64, 0.6311428571428571, 0.6348571428571429, 0.6382857142857142, 0.6402857142857142, 0.6397142857142857, 0.636, 0.6382857142857142]"
0.25,0.6092142857142857,0.00533672298746131,"[0.5994285714285714, 0.6194285714285714, 0.6148571428571429, 0.6037142857142858, 0.6117142857142858, 0.6054285714285714, 0.6051428571428571, 0.6122857142857143, 0.6145714285714285, 0.6042857142857143, 0.6048571428571429, 0.6048571428571429, 0.6108571428571429, 0.608, 0.6205714285714286, 0.6091428571428571, 0.6088571428571429, 0.6077142857142858, 0.6051428571428571, 0.6134285714285714]"
0.30000000000000004,0.5747857142857142,0.00663993791463474,"[0.5717142857142857, 0.5685714285714286, 0.5722857142857143, 0.5822857142857143, 0.5751428571428572, 0.5842857142857143, 0.5837142857142857, 0.558, 0.5734285714285714, 0.5702857142857143, 0.5705714285714286, 0.5797142857142857, 0.5722857142857143, 0.5771428571428572, 0.582, 0.5668571428571428, 0.5697142857142857, 0.5771428571428572, 0.576, 0.5845714285714285]"
0.35000000000000003,0.5415428571428571,0.006634110985763544,"[0.5405714285714286, 0.5494285714285714, 0.5417142857142857, 0.5417142857142857, 0.544, 0.5308571428571428, 0.5345714285714286, 0.5534285714285714, 0.544, 0.5285714285714286, 0.5428571428571428, 0.546, 0.5462857142857143, 0.5382857142857143, 0.5465714285714286, 0.5271428571428571, 0.5445714285714286, 0.5422857142857143, 0.5474285714285714, 0.5405714285714286]"
0.4,0.5035428571428572,0.007809152139820114,"[0.5034285714285714, 0.5005714285714286, 0.516, 0.4917142857142857, 0.518, 0.49542857142857144, 0.49742857142857144, 0.5111428571428571, 0.5002857142857143, 0.49228571428571427, 0.5011428571428571, 0.4948571428571429, 0.5008571428571429, 0.5097142857142857, 0.5117142857142857, 0.5082857142857143, 0.5065714285714286, 0.508, 0.4928571428571429, 0.5105714285714286]"
0.45,0.4652428571428572,0.008676157806639663,"[0.48314285714285715, 0.45685714285714285, 0.47514285714285714, 0.44885714285714284, 0.4734285714285714, 0.4565714285714286, 0.4522857142857143, 0.4734285714285714, 0.46514285714285714, 0.4682857142857143, 0.4654285714285714, 0.4742857142857143, 0.468, 0.45485714285714285, 0.472, 0.4574285714285714, 0.46085714285714285, 0.4614285714285714, 0.4685714285714286, 0.46885714285714286]"
0.5,0.4236428571428571,0.005685552761524745,"[0.4217142857142857, 0.42228571428571426, 0.41314285714285715, 0.4248571428571429, 0.42628571428571427, 0.4217142857142857, 0.4177142857142857, 0.43457142857142855, 0.4308571428571429, 0.4288571428571429, 0.42514285714285716, 0.4257142857142857, 0.4188571428571429, 0.42228571428571426, 0.4125714285714286, 0.418, 0.43314285714285716, 0.42542857142857143, 0.426, 0.4237142857142857]"
0.55,0.3865857142857143,0.008462389781635367,"[0.37457142857142856, 0.37085714285714283, 0.38771428571428573, 0.39514285714285713, 0.38457142857142856, 0.3851428571428571, 0.3982857142857143, 0.38771428571428573, 0.38257142857142856, 0.4045714285714286, 0.38, 0.3802857142857143, 0.38085714285714284, 0.382, 0.39371428571428574, 0.4005714285714286, 0.382, 0.386, 0.39371428571428574, 0.38142857142857145]"
0.6000000000000001,0.33791428571428567,0.009477406000050648,"[0.33085714285714285, 0.3302857142857143, 0.3385714285714286, 0.3414285714285714, 0.32371428571428573, 0.3445714285714286, 0.33514285714285713, 0.34314285714285714, 0.35714285714285715, 0.32857142857142857, 0.3442857142857143, 0.3397142857142857, 0.334, 0.3525714285714286, 0.3274285714285714, 0.3568571428571429, 0.334, 0.334, 0.3251428571428571, 0.33685714285714285]"
0.65,0.2959428571428572,0.006727706950835963,"[0.304, 0.30314285714285716, 0.2917142857142857, 0.29285714285714287, 0.2845714285714286, 0.29, 0.30885714285714283, 0.2934285714285714, 0.29514285714285715, 0.296, 0.296, 0.2977142857142857, 0.2997142857142857, 0.284, 0.2988571428571429, 0.29714285714285715, 0.30514285714285716, 0.30314285714285716, 0.29114285714285715, 0.2862857142857143]"
0.7000000000000001,0.24928571428571428,0.006745822592462653,"[0.24885714285714286, 0.25771428571428573, 0.25657142857142856, 0.24857142857142858, 0.248, 0.25685714285714284, 0.24342857142857144, 0.2402857142857143, 0.25885714285714284, 0.24514285714285713, 0.258, 0.23742857142857143, 0.24485714285714286, 0.25542857142857145, 0.24, 0.24714285714285714, 0.254, 0.24914285714285714, 0.2402857142857143, 0.2551428571428571]"
0.75,0.19535714285714284,0.007794228634059946,"[0.20342857142857143, 0.20457142857142857, 0.18885714285714286, 0.18914285714285714, 0.18942857142857142, 0.18114285714285713, 0.19114285714285714, 0.206, 0.19714285714285715, 0.194, 0.18685714285714286, 0.21314285714285713, 0.19514285714285715, 0.19914285714285715, 0.19542857142857142, 0.1982857142857143, 0.186, 0.20257142857142857, 0.1977142857142857, 0.188]"
0.8,0.1487857142857143,0.008828929719960398,"[0.14342857142857143, 0.154, 0.144, 0.138, 0.1417142857142857, 0.14114285714285715, 0.15057142857142858, 0.156, 0.15971428571428573, 0.15428571428571428, 0.15371428571428572, 0.1637142857142857, 0.15885714285714286, 0.15628571428571428, 0.14342857142857143, 0.142, 0.13714285714285715, 0.12942857142857142, 0.15285714285714286, 0.15542857142857142]"
0.8500000000000001,0.087,0.01579602119884263,"[0.08285714285714285, 0.07742857142857143, 0.08457142857142858, 0.09771428571428571, 0.07885714285714286, 0.086, 0.10371428571428572, 0.08171428571428571, 0.084, 0.08942857142857143, 0.08542857142857142, 0.10685714285714286, 0.03514285714285714, 0.09142857142857143, 0.09314285714285714, 0.09714285714285714, 0.10257142857142858, 0.08685714285714285, 0.06657142857142857, 0.10857142857142857]"
0.9,0.03795714285714286,0.012448514377389842,"[0.018571428571428572, 0.04914285714285714, 0.044571428571428574, 0.03857142857142857, 0.046857142857142854, 0.020285714285714285, 0.045142857142857144, 0.02142857142857143, 0.040285714285714286, 0.027714285714285716, 0.040857142857142856, 0.06285714285714286, 0.031714285714285716, 0.03371428571428572, 0.030857142857142857, 0.022, 0.03, 0.056857142857142856, 0.055142857142857146, 0.04257142857142857]"
0.9500000000000001,0.0093,0.002370696961155654,"[0.004, 0.011142857142857144, 0.009142857142857144, 0.01, 0.011428571428571429, 0.01685714285714286, 0.008285714285714285, 0.008857142857142857, 0.011142857142857144, 0.009714285714285713, 0.009142857142857144, 0.008, 0.009142857142857144, 0.008, 0.008, 0.009714285714285713, 0.0074285714285714285, 0.010285714285714285, 0.008, 0.007714285714285714]"
1.0,0.00028571428571428574,0.0,"[0.00028571428571428574, 0.00028571428571428574, 0.00028571428571428574, 0.00028571428571428574, 0.00028571428571428574, 0.00028571428571428574, 0.00028571428571428574, 0.00028571428571428574, 0.00028571428571428574, 0.00028571428571428574, 0.00028571428571428574, 0.00028571428571428574, 0.00028571428571428574, 0.00028571428571428574, 0.00028571428571428574, 0.00028571428571428574, 0.00028571428571428574, 0.00028571428571428574, 0.00028571428571428574, 0.00028571428571428574]"
